ArticleID,Source,race,race_w2v,cigarillos,cigarillos_w2v,youth,youth_w2v,egal_w2v,ind_w2v,protest,riot,michael_brown,dead_blacks,n_words
freep17,DetroitFreePress,1.0,0.116836113669,0.0,0.0586788707604,0.0,0.0886356842072,0.0871734157642,0.0929369058131,2,0,1,0,147
freep18,DetroitFreePress,3.0,0.135685303117,0.0,0.0562854586328,0.0,0.101124108686,0.116923181778,0.137114141124,5,0,1,0,619
freep19,DetroitFreePress,2.0,0.12625092367,0.0,0.0502502438664,0.0,0.0984354427186,0.0935698837517,0.0953975678194,0,0,1,0,149
freep20,DetroitFreePress,0.0,0.12628700406,0.0,0.0450001273211,0.0,0.0969290164774,0.112348333579,0.120010912207,5,0,1,0,425
freep21,DetroitFreePress,3.0,0.135154189836,0.0,0.0448422687075,0.0,0.106310975824,0.110767591086,0.126182888977,0,0,1,0,406
freep22,DetroitFreePress,5.0,0.134782568098,0.0,0.0512962317609,0.0,0.0977708405375,0.106334010105,0.114015888937,1,0,1,0,797
freep23,DetroitFreePress,2.0,0.131010457317,0.0,0.0590333335347,0.0,0.0942527301205,0.116816717367,0.129929721846,1,1,1,0,743
freep24,DetroitFreePress,0.0,0.12972235734,0.0,0.0481269710863,0.0,0.0976324314265,0.113746190677,0.124992931718,2,0,2,1,703
freep25,DetroitFreePress,0.0,0.122041430733,0.0,0.0540044564477,0.0,0.0923207855288,0.103357251122,0.110270616989,9,0,2,0,1023
freep26,DetroitFreePress,2.0,0.124675032467,0.0,0.0526158647363,0.0,0.101000469837,0.100181865773,0.110596797204,1,0,1,0,1107
freep27,DetroitFreePress,1.0,0.128138591367,0.0,0.0440318809041,0.0,0.0957224427784,0.106278317706,0.111677077485,5,1,1,1,905
freep28,DetroitFreePress,5.0,0.137545271725,0.0,0.050517413027,0.0,0.0978034576136,0.124760359014,0.135119592474,1,0,1,0,677
freep29,DetroitFreePress,3.0,0.129429440503,0.0,0.0536286456243,0.0,0.100846018786,0.100705898015,0.11045888744,5,0,1,0,743
